Chersich M.F., Gray G., Fairlie L., Eichbaum Q., Mayhew S., Allwood B., English R., Scorgie F., Luchters S., Simpson G., Haghighi M.M., Pham M.D., Rees H.,	Chersich M.F., Gray G., Fairlie L., Eichbaum Q., Mayhew S., Allwood B., English R., Scorgie F., Luchters S., Simpson G., Haghighi M.M., Pham M.D., Rees H.
Gao Y., Yan L., Huang Y., Liu F., Zhao Y., Cao L., Wang T., Sun Q., Ming Z., Zhang L., Ge J., Zheng L., Zhang Y., Wang H., Zhu Y., Zhu C., Hu T., Hua T., Zhang B., Yang X., Li J., Yang H., Liu Z., Xu W., Guddat L.W., Wang Q., Lou Z., Rao Z.,	Gao Y., Yan L., Huang Y., Liu F., Zhao Y., Cao L., Wang T., Sun Q., Ming Z., Zhang L., Ge J., Zheng L., Zhang Y., Wang H., Zhu Y., Zhu C., Hu T., Hua T., Zhang B., Yang X., Li J., Yang H., Liu Z., Xu W., Guddat L.W., Wang Q., Lou Z., Rao Z.
Hamner L., Dubbel P., Capron I., Ross A., Jordan A., Lee J., Lynn J., Ball A., Narwal S., Russell S., Patrick D., Leibrand H.,	Hamner L., Dubbel P., Capron I., Ross A., Jordan A., Lee J., Lynn J., Ball A., Narwal S., Russell S., Patrick D., Leibrand H.
Zhou Q., Chen V., Shannon C.P., Wei X.-S., Xiang X., Wang X., Wang Z.-H., Tebbutt S.J., Kollmann T.R., Fish E.N.,	Zhou Q., Chen V., Shannon C.P., Wei X.-S., Xiang X., Wang X., Wang Z.-H., Tebbutt S.J., Kollmann T.R., Fish E.N.
Reiter R.J., Abreu-Gonzalez P., Marik P.E., Dominguez-Rodriguez A.,	Reiter R.J., Abreu-Gonzalez P., Marik P.E., Dominguez-Rodriguez A.
COVID-19 National Incident Room Surveillance Team,	COVID-19 National Incident Room Surveillance Team
Zhong F., Zhang H., Wang B., An W., Liao M.,	Zhong F., Zhang H., Wang B., An W., Liao M.
New York City Department of Health and Mental Hygiene (DOHMH) COVID-19 Response Team,	New York City Department of Health and Mental Hygiene (DOHMH) COVID-19 Response Team
Ma L.-L., Li B.-H., Jin Y.-H., Deng T., Ren X.-Q., Zeng X.-T.,	Ma L.-L., Li B.-H., Jin Y.-H., Deng T., Ren X.-Q., Zeng X.-T.
Wallace M., Hagan L., Curran K.G., Williams S.P., Handanagic S., Bjork A., Davidson S.L., Lawrence R.T., McLaughlin J., Butterfield M., James A.E., Patil N., Lucas K., Hutchinson J., Sosa L., Jara A., Griffin P., Simonson S., Brown C.M., Smoyer S., Weinberg M., Pattee B., Howell M., Donahue M., Hesham S., Shelley E., Philips G., Selvage D., Staley E.M., Lee A., Mannell M., McCotter O., Villalobos R., Bell L., Diedhiou A., Ortbahn D., Clayton J.L., Sanders K., Cranford H., Barbeau B., McCombs K.G., Holsinger C., Kwit N.A., Pringle J.C., Kariko S., Strick L., Allord M., Tillman C., Morrison A., Rowe D., Marlow M.,	Wallace M., Hagan L., Curran K.G., Williams S.P., Handanagic S., Bjork A., Davidson S.L., Lawrence R.T., McLaughlin J., Butterfield M., James A.E., Patil N., Lucas K., Hutchinson J., Sosa L., Jara A., Griffin P., Simonson S., Brown C.M., Smoyer S., Weinberg M., Pattee B., Howell M., Donahue M., Hesham S., Shelley E., Philips G., Selvage D., Staley E.M., Lee A., Mannell M., McCotter O., Villalobos R., Bell L., Diedhiou A., Ortbahn D., Clayton J.L., Sanders K., Cranford H., Barbeau B., McCombs K.G., Holsinger C., Kwit N.A., Pringle J.C., Kariko S., Strick L., Allord M., Tillman C., Morrison A., Rowe D., Marlow M.
Mary A., Hénaut L., Schmit J.-L., Lanoix J.-P., Brazier M.,	Mary A., Hénaut L., Schmit J.-L., Lanoix J.-P., Brazier M.
Cespedes M.D.S., Souza J.C.R.P.,	Cespedes M.D.S., Souza J.C.R.P.
Gordon C.J., Tchesnokov E.P., Woolner E., Perry J.K., Feng J.Y., Porter D.P., Götte M.,	Gordon C.J., Tchesnokov E.P., Woolner E., Perry J.K., Feng J.Y., Porter D.P., Götte M.
Kim D., Lee J.-Y., Yang J.-S., Kim J.W., Kim V.N., Chang H.,	Kim D., Lee J.-Y., Yang J.-S., Kim J.W., Kim V.N., Chang H.
Monteil V., Kwon H., Prado P., Hagelkrüys A., Wimmer R.A., Stahl M., Leopoldi A., Garreta E., Hurtado del Pozo C., Prosper F., Romero J.P., Wirnsberger G., Zhang H., Slutsky A.S., Conder R., Montserrat N., Mirazimi A., Penninger J.M.,	Monteil V., Kwon H., Prado P., Hagelkrüys A., Wimmer R.A., Stahl M., Leopoldi A., Garreta E., Hurtado del Pozo C., Prosper F., Romero J.P., Wirnsberger G., Zhang H., Slutsky A.S., Conder R., Montserrat N., Mirazimi A., Penninger J.M.
Abbott T.R., Dhamdhere G., Liu Y., Lin X., Goudy L., Zeng L., Chemparathy A., Chmura S., Heaton N.S., Debs R., Pande T., Endy D., La Russa M.F., Lewis D.B., Qi L.S.,	Abbott T.R., Dhamdhere G., Liu Y., Lin X., Goudy L., Zeng L., Chemparathy A., Chmura S., Heaton N.S., Debs R., Pande T., Endy D., La Russa M.F., Lewis D.B., Qi L.S.
Oberfeld B., Achanta A., Carpenter K., Chen P., Gilette N.M., Langat P., Said J.T., Schiff A.E., Zhou A.S., Barczak A.K., Pillai S.,	Oberfeld B., Achanta A., Carpenter K., Chen P., Gilette N.M., Langat P., Said J.T., Schiff A.E., Zhou A.S., Barczak A.K., Pillai S.
Glasper A.,	Glasper A.
Mahévas M., Tran V.-T., Roumier M., Chabrol A., Paule R., Guillaud C., Fois E., Lepeule R., Szwebel T.-A., Lescure F.-X., Schlemmer F., Matignon M., Khellaf M., Crickx E., Terrier B., Morbieu C., Legendre P., Dang J., Schoindre Y., Pawlotsky J.-M., Michel M., Perrodeau E., Carlier N., Roche N., De Lastours V., Ourghanlian C., Kerneis S., Ménager P., Mouthon L., Audureau E., Ravaud P., Godeau B., Gallien S., Costedoat-Chalumeau N.,	Mahévas M., Tran V.-T., Roumier M., Chabrol A., Paule R., Guillaud C., Fois E., Lepeule R., Szwebel T.-A., Lescure F.-X., Schlemmer F., Matignon M., Khellaf M., Crickx E., Terrier B., Morbieu C., Legendre P., Dang J., Schoindre Y., Pawlotsky J.-M., Michel M., Perrodeau E., Carlier N., Roche N., De Lastours V., Ourghanlian C., Kerneis S., Ménager P., Mouthon L., Audureau E., Ravaud P., Godeau B., Gallien S., Costedoat-Chalumeau N.
Kim Y.-I., Kim S.-G., Kim S.-M., Kim E.-H., Park S.-J., Yu K.-M., Chang J.-H., Kim E.J., Lee S., Casel M.A.B., Um J., Song M.-S., Jeong H.W., Lai V.D., Kim Y., Chin B.S., Park J.-S., Chung K.-H., Foo S.-S., Poo H., Mo I.-P., Lee O.-J., Webby R.J., Jung J.U., Choi Y.K.,	Kim Y.-I., Kim S.-G., Kim S.-M., Kim E.-H., Park S.-J., Yu K.-M., Chang J.-H., Kim E.J., Lee S., Casel M.A.B., Um J., Song M.-S., Jeong H.W., Lai V.D., Kim Y., Chin B.S., Park J.-S., Chung K.-H., Foo S.-S., Poo H., Mo I.-P., Lee O.-J., Webby R.J., Jung J.U., Choi Y.K.
Subbarao K.,	Subbarao K.
Xie X., Muruato A., Lokugamage K.G., Narayanan K., Zhang X., Zou J., Liu J., Schindewolf C., Bopp N.E., Aguilar P.V., Plante K.S., Weaver S.C., Makino S., LeDuc J.W., Menachery V.D., Shi P.-Y.,	Xie X., Muruato A., Lokugamage K.G., Narayanan K., Zhang X., Zou J., Liu J., Schindewolf C., Bopp N.E., Aguilar P.V., Plante K.S., Weaver S.C., Makino S., LeDuc J.W., Menachery V.D., Shi P.-Y.
Hill E., Crockett C., Circh R.W., Lansville F., Stahel P.F.,	Hill E., Crockett C., Circh R.W., Lansville F., Stahel P.F.
Zang R., Gomez Castro M.F., McCune B.T., Zeng Q., Rothlauf P.W., Sonnek N.M., Liu Z., Brulois K.F., Wang X., Greenberg H.B., Diamond M.S., Ciorba M.A., Whelan S.P.J., Ding S.,	Zang R., Gomez Castro M.F., McCune B.T., Zeng Q., Rothlauf P.W., Sonnek N.M., Liu Z., Brulois K.F., Wang X., Greenberg H.B., Diamond M.S., Ciorba M.A., Whelan S.P.J., Ding S.
Fischer J.C., Zänker K., Van Griensven M., Schneider M., Kindgen-Milles D., Knoefel W.T., Lichtenberg A., Tamaskovics B., Djiepmo-Njanang F.J., Budach W., Corradini S., Ganswindt U., Häussinger D., Feldt T., Schelzig H., Bojar H., Peiper M., Bölke E., Haussmann J., Matuschek C.,	Fischer J.C., Zänker K., Van Griensven M., Schneider M., Kindgen-Milles D., Knoefel W.T., Lichtenberg A., Tamaskovics B., Djiepmo-Njanang F.J., Budach W., Corradini S., Ganswindt U., Häussinger D., Feldt T., Schelzig H., Bojar H., Peiper M., Bölke E., Haussmann J., Matuschek C.
Wiersinga W.J.,	Wiersinga W.J.
Thomas G., Frederick E., Hausburg M., Goldberg L., Hoke M., Roshon M., Mains C., Bar-Or D.,	Thomas G., Frederick E., Hausburg M., Goldberg L., Hoke M., Roshon M., Mains C., Bar-Or D.
Weller M., Preusser M.,	Weller M., Preusser M.
Xie P., Ma W., Tang H., Liu D.,	Xie P., Ma W., Tang H., Liu D.
Vargas-Peirano M., Navarrete P., Díaz T., Iglesias G., Hoehmann M.,	Vargas-Peirano M., Navarrete P., Díaz T., Iglesias G., Hoehmann M.
Melley L.E., Bress E., Polan E.,	Melley L.E., Bress E., Polan E.
Pechère-Bertschi A., Ponte B., Wuerzner G.,	Pechère-Bertschi A., Ponte B., Wuerzner G.
Burton D.R., Walker L.M.,	Burton D.R., Walker L.M.
Provencio M., Ruano-Raviña A.,	Provencio M., Ruano-Raviña A.
Liang Y., Wang M.-L., Chien C.-S., Yarmishyn A.A., Yang Y.-P., Lai W.-Y., Luo Y.-H., Lin Y.-T., Chen Y.-J., Chang P.-C., Chiou S.-H.,	Liang Y., Wang M.-L., Chien C.-S., Yarmishyn A.A., Yang Y.-P., Lai W.-Y., Luo Y.-H., Lin Y.-T., Chen Y.-J., Chang P.-C., Chiou S.-H.
Godri Pollitt K.J., Peccia J., Ko A.I., Kaminski N., Dela Cruz C.S., Nebert D.W., Reichardt J.K.V., Thompson D.C., Vasiliou V.,	Godri Pollitt K.J., Peccia J., Ko A.I., Kaminski N., Dela Cruz C.S., Nebert D.W., Reichardt J.K.V., Thompson D.C., Vasiliou V.
Fegert J.M., Vitiello B., Plener P.L., Clemens V.,	Fegert J.M., Vitiello B., Plener P.L., Clemens V.
Sanders J.M., Monogue M.L., Jodlowski T.Z., Cutrell J.B.,	Sanders J.M., Monogue M.L., Jodlowski T.Z., Cutrell J.B.
Cai X., Ma Y., Li S., Chen Y., Rong Z., Li W.,	Cai X., Ma Y., Li S., Chen Y., Rong Z., Li W.
Frutos R., Lopez Roig M., Serra-Cobo J., Devaux C.A.,	Frutos R., Lopez Roig M., Serra-Cobo J., Devaux C.A.
Gatto M., Bertuzzo E., Mari L., Miccoli S., Carraro L., Casagrandi R., Rinaldo A.,	Gatto M., Bertuzzo E., Mari L., Miccoli S., Carraro L., Casagrandi R., Rinaldo A.
Har-Noy M., Or R.,	Har-Noy M., Or R.
Ciliberto G., Mancini R., Paggi M.G.,	Ciliberto G., Mancini R., Paggi M.G.
Möhn N., Pul R., Kleinschnitz C., Prüss H., Witte T., Stangel M., Skripuletz T.,	Möhn N., Pul R., Kleinschnitz C., Prüss H., Witte T., Stangel M., Skripuletz T.
Cainelli F., Dzudzor B., Lanzafame M., Goushchi A., Chhem S., Vento S.,	Cainelli F., Dzudzor B., Lanzafame M., Goushchi A., Chhem S., Vento S.
Friedlaender A., Kim C., Addeo A.,	Friedlaender A., Kim C., Addeo A.
Troldborg A., Bartels L.E., Deleuran B.,	Troldborg A., Bartels L.E., Deleuran B.
Jin Y.-H., Huang Q., Wang Y.-Y., Zeng X.-T., Luo L.-S., Pan Z.-Y., Yuan Y.-F., Chen Z.-M., Cheng Z.-S., Huang X., Wang N., Li B.-H., Zi H., Zhao M.-J., Ma L.-L., Deng T., Wang Y., Wang X.-H.,	Jin Y.-H., Huang Q., Wang Y.-Y., Zeng X.-T., Luo L.-S., Pan Z.-Y., Yuan Y.-F., Chen Z.-M., Cheng Z.-S., Huang X., Wang N., Li B.-H., Zi H., Zhao M.-J., Ma L.-L., Deng T., Wang Y., Wang X.-H.
Wang F., Nie J., Wang H., Zhao Q., Xiong Y., Deng L., Song S., Ma Z., Mo P., Zhang Y.,	Wang F., Nie J., Wang H., Zhao Q., Xiong Y., Deng L., Song S., Ma Z., Mo P., Zhang Y.
Goh K.J., Wong J., Tien J.-C.C., Ng S.Y., Duu Wen S., Phua G.C., Leong C.K.-L.,	Goh K.J., Wong J., Tien J.-C.C., Ng S.Y., Duu Wen S., Phua G.C., Leong C.K.-L.
Eyal N., Lipsitch M., Smith P.G.,	Eyal N., Lipsitch M., Smith P.G.
Gujski M., Humeniuk E., Bojar I.,	Gujski M., Humeniuk E., Bojar I.
Li H., Liu L., Zhang D., Xu J., Dai H., Tang N., Su X., Cao B.,	Li H., Liu L., Zhang D., Xu J., Dai H., Tang N., Su X., Cao B.
Covián C., Retamal-Díaz A., Bueno S.M., Kalergis A.M.,	Covián C., Retamal-Díaz A., Bueno S.M., Kalergis A.M.
Yuan M., Wu N.C., Zhu X., Lee C.-C.D., So R.T.Y., Lv H., Mok C.K.P., Wilson I.A.,	Yuan M., Wu N.C., Zhu X., Lee C.-C.D., So R.T.Y., Lv H., Mok C.K.P., Wilson I.A.
Firstenberg M.S., Stahel P.F., Hanna J., Kotaru C., Crossno J., Jr., Forrester J.,	Firstenberg M.S., Stahel P.F., Hanna J., Kotaru C., Crossno J., Jr., Forrester J.
Spinelli F.R., Conti F., Gadina M.,	Spinelli F.R., Conti F., Gadina M.
Liu Z., Ding L., Chen G., Zhao C., Luo X., Li X., Luo W., Xia J., Liu X.,	Liu Z., Ding L., Chen G., Zhao C., Luo X., Li X., Luo W., Xia J., Liu X.
COVID-19 National Incident Room Surveillance Team,	COVID-19 National Incident Room Surveillance Team
Yang Q., Lan C.-J., Liao X.,	Yang Q., Lan C.-J., Liao X.
Dyal J.W., Grant M.P., Broadwater K., Bjork A., Waltenburg M.A., Gibbins J.D., Hale C., Silver M., Fischer M., Steinberg J., Basler C.A., Jacobs J.R., Kennedy E.D., Tomasi S., Trout D., Hornsby-Myers J., Oussayef N.L., Delaney L.J., Patel K., Shetty V., Kline K.E., Schroeder B., Herlihy R.K., House J., Jervis R., Clayton J.L., Ortbahn D., Austin C., Berl E., Moore Z., Buss B.F., Stover D., Westergaard R., Pray I., DeBolt M., Person A., Gabel J., Kittle T.S., Hendren P., Rhea C., Holsinger C., Dunn J., Turabelidze G., Ahmed F.S., DeFijter S., Pedati C.S., Rattay K., Smith E.E., Luna-Pinto C., Cooley L.A., Saydah S., Preacely N.D., Maddox R.A., Lundeen E., Goodwin B., Karpathy S.E., Griffing S., Jenkins M.M., Lowry G., Schwarz R.D., Yoder J., Peacock G., Walke H.T., Rose D.A., Honein M.A.,	Dyal J.W., Grant M.P., Broadwater K., Bjork A., Waltenburg M.A., Gibbins J.D., Hale C., Silver M., Fischer M., Steinberg J., Basler C.A., Jacobs J.R., Kennedy E.D., Tomasi S., Trout D., Hornsby-Myers J., Oussayef N.L., Delaney L.J., Patel K., Shetty V., Kline K.E., Schroeder B., Herlihy R.K., House J., Jervis R., Clayton J.L., Ortbahn D., Austin C., Berl E., Moore Z., Buss B.F., Stover D., Westergaard R., Pray I., DeBolt M., Person A., Gabel J., Kittle T.S., Hendren P., Rhea C., Holsinger C., Dunn J., Turabelidze G., Ahmed F.S., DeFijter S., Pedati C.S., Rattay K., Smith E.E., Luna-Pinto C., Cooley L.A., Saydah S., Preacely N.D., Maddox R.A., Lundeen E., Goodwin B., Karpathy S.E., Griffing S., Jenkins M.M., Lowry G., Schwarz R.D., Yoder J., Peacock G., Walke H.T., Rose D.A., Honein M.A.
Girona T.,	Girona T.
Kowalewski M., Fina D., S?omka A., Raffa G.M., Martucci G., Lo Coco V., De Piero M.E., Ranucci M., Suwalski P., Lorusso R.,	Kowalewski M., Fina D., S?omka A., Raffa G.M., Martucci G., Lo Coco V., De Piero M.E., Ranucci M., Suwalski P., Lorusso R.
Schuchat A., CDC COVID-19 Response Team,	Schuchat A., CDC COVID-19 Response Team
Cortegiani A., Ippolito M., Ingoglia G., Einav S.,	Cortegiani A., Ippolito M., Ingoglia G., Einav S.
Gold J.A.W., Wong K.K., Szablewski C.M., Patel P.R., Rossow J., Da Silva J., Natarajan P., Morris S.B., Fanfair R.N., Rogers-Brown J., Bruce B.B., Browning S.D., Hernandez-Romieu A.C., Furukawa N.W., Kang M., Evans M.E., Oosmanally N., Tobin-D'Angelo M., Drenzek C., Murphy D.J., Hollberg J., Blum J.M., Jansen R., Wright D.W., Sewell W.M., III, Owens J.D., Lefkove B., Brown F.W., Burton D.C., Uyeki T.M., Bialek S.R., Jackson B.R.,	Gold J.A.W., Wong K.K., Szablewski C.M., Patel P.R., Rossow J., Da Silva J., Natarajan P., Morris S.B., Fanfair R.N., Rogers-Brown J., Bruce B.B., Browning S.D., Hernandez-Romieu A.C., Furukawa N.W., Kang M., Evans M.E., Oosmanally N., Tobin-D'Angelo M., Drenzek C., Murphy D.J., Hollberg J., Blum J.M., Jansen R., Wright D.W., Sewell W.M., III, Owens J.D., Lefkove B., Brown F.W., Burton D.C., Uyeki T.M., Bialek S.R., Jackson B.R.
Bourget-Murray J., Heard B.J., Bansal R., Johnson A.S., Powell J.,	Bourget-Murray J., Heard B.J., Bansal R., Johnson A.S., Powell J.
Xu J., Shi P.-Y., Li H., Zhou J.,	Xu J., Shi P.-Y., Li H., Zhou J.
Baud D., Dimopoulou Agri V., Gibson G.R., Reid G., Giannoni E.,	Baud D., Dimopoulou Agri V., Gibson G.R., Reid G., Giannoni E.
Mao L.-J., Xu J., Xu Z.-H., Xia X.-P., Li B., He J.-G., Zhao P., Pan J.-W., Zhang D., Su Y., Wang Y.-H., Yuan Z.-F.,	Mao L.-J., Xu J., Xu Z.-H., Xia X.-P., Li B., He J.-G., Zhao P., Pan J.-W., Zhang D., Su Y., Wang Y.-H., Yuan Z.-F.
Padilla-Rojas C., Lope-Pari P., Vega-Chozo K., Balbuena-Torres J., Caceres-Rey O., Bailon-Calderon H., Huaringa-Nuñez M., Rojas-Serrano N.,	Padilla-Rojas C., Lope-Pari P., Vega-Chozo K., Balbuena-Torres J., Caceres-Rey O., Bailon-Calderon H., Huaringa-Nuñez M., Rojas-Serrano N.
Andersson U., Ottestad W., Tracey K.J.,	Andersson U., Ottestad W., Tracey K.J.
Jääskeläinen A.J., Kekäläinen E., Kallio-Kokko H., Mannonen L., Kortela E., Vapalahti O., Kurkela S., Lappalainen M.,	Jääskeläinen A.J., Kekäläinen E., Kallio-Kokko H., Mannonen L., Kortela E., Vapalahti O., Kurkela S., Lappalainen M.
Cena H., Chieppa M.,	Cena H., Chieppa M.
Arnaldez F.I., O'Day S.J., Drake C.G., Fox B.A., Fu B., Urba W.J., Montesarchio V., Weber J.S., Wei H., Wigginton J.M., Ascierto P.A.,	Arnaldez F.I., O'Day S.J., Drake C.G., Fox B.A., Fu B., Urba W.J., Montesarchio V., Weber J.S., Wei H., Wigginton J.M., Ascierto P.A.
Cao B., Wang Y., Wen D., Liu W., Wang J., Fan G., Ruan L., Song B., Cai Y., Wei M., Li X., Xia J., Chen N., Xiang J., Yu T., Bai T., Xie X., Zhang L., Li C., Yuan Y., Chen H., Li H., Huang H., Tu S., Gong F., Liu Y., Wei Y., Dong C., Zhou F., Gu X., Xu J., Liu Z., Zhang Y., Li H., Shang L., Wang K., Li K., Zhou X., Dong X., Qu Z., Lu S., Hu X., Ruan S., Luo S., Wu J., Peng L., Cheng F., Pan L., Zou J., Jia C., Wang J., Liu X., Wang S., Wu X., Ge Q., He J., Zhan H., Qiu F., Guo L., Huang C., Jaki T., Hayden F.G., Horby P.W., Zhang D., Wang C.,	Cao B., Wang Y., Wen D., Liu W., Wang J., Fan G., Ruan L., Song B., Cai Y., Wei M., Li X., Xia J., Chen N., Xiang J., Yu T., Bai T., Xie X., Zhang L., Li C., Yuan Y., Chen H., Li H., Huang H., Tu S., Gong F., Liu Y., Wei Y., Dong C., Zhou F., Gu X., Xu J., Liu Z., Zhang Y., Li H., Shang L., Wang K., Li K., Zhou X., Dong X., Qu Z., Lu S., Hu X., Ruan S., Luo S., Wu J., Peng L., Cheng F., Pan L., Zou J., Jia C., Wang J., Liu X., Wang S., Wu X., Ge Q., He J., Zhan H., Qiu F., Guo L., Huang C., Jaki T., Hayden F.G., Horby P.W., Zhang D., Wang C.
Prato A.P., Conforti A., Almstrom M., Van Gemert W., Scuderi M.G., Khen-Dunlop N., Draghici I., Mendoza-Sagaon M., Prades C.G., Chiarenza F., Steyaert H.,	Prato A.P., Conforti A., Almstrom M., Van Gemert W., Scuderi M.G., Khen-Dunlop N., Draghici I., Mendoza-Sagaon M., Prades C.G., Chiarenza F., Steyaert H.
Baig A.M.,	Baig A.M.
Das G., Mukherjee N., Ghosh S.,	Das G., Mukherjee N., Ghosh S.
Casini A., Fontana P., Glauser F., Robert-Ebadi H., Righini M., Blondon M.,	Casini A., Fontana P., Glauser F., Robert-Ebadi H., Righini M., Blondon M.
Iwen P.C., Stiles K.L., Pentella M.A.,	Iwen P.C., Stiles K.L., Pentella M.A.
Ma H., Hu J., Tian J., Zhou X., Li H., Laws M.T., Wesemann L.D., Zhu B., Chen W., Ramos R., Xia J., Shao J.,	Ma H., Hu J., Tian J., Zhou X., Li H., Laws M.T., Wesemann L.D., Zhu B., Chen W., Ramos R., Xia J., Shao J.
Daccord C., Touilloux B., Von Garnier C.,	Daccord C., Touilloux B., Von Garnier C.
Kherad O., Moret Bochatay M., Fumeaux T.,	Kherad O., Moret Bochatay M., Fumeaux T.
Masmejan S., Pomar L., Lepigeon K., Favre G., Baud D., Rieder W.,	Masmejan S., Pomar L., Lepigeon K., Favre G., Baud D., Rieder W.
Behzadifar M., Ghanbari M.K., Bakhtiari A., Behzadifar M., Bragazzi N.L.,	Behzadifar M., Ghanbari M.K., Bakhtiari A., Behzadifar M., Bragazzi N.L.
Aebischer O., Porret R., Pawlowska V., Barbier J., Caratsch L., Moreira De Jesus M., Castioni J., Kraege V., Bart P.-A., Mean M., Monti M., Garnier A., Vollenweider P., Gachoud D.,	Aebischer O., Porret R., Pawlowska V., Barbier J., Caratsch L., Moreira De Jesus M., Castioni J., Kraege V., Bart P.-A., Mean M., Monti M., Garnier A., Vollenweider P., Gachoud D.
Kosinski C., Zanchi A., Wojtusciszyn A.,	Kosinski C., Zanchi A., Wojtusciszyn A.
Hjelmesæth J., Skaare D.,	Hjelmesæth J., Skaare D.
Lauer S.A., Grantz K.H., Bi Q., Jones F.K., Zheng Q., Meredith H.R., Azman A.S., Reich N.G., Lessler J.,	Lauer S.A., Grantz K.H., Bi Q., Jones F.K., Zheng Q., Meredith H.R., Azman A.S., Reich N.G., Lessler J.
Zhang H., Zhou P., Wei Y., Yue H., Wang Y., Hu M., Zhang S., Cao T., Yang C., Li M., Guo G., Chen X., Chen Y., Lei M., Liu H., Zhao J., Peng P., Wang C.-Y., Du R.,	Zhang H., Zhou P., Wei Y., Yue H., Wang Y., Hu M., Zhang S., Cao T., Yang C., Li M., Guo G., Chen X., Chen Y., Lei M., Liu H., Zhao J., Peng P., Wang C.-Y., Du R.
Xiong Y., Song S., Ye G., Wang X.,	Xiong Y., Song S., Ye G., Wang X.
Arutyunov G.P., Koziolova N.A., Tarlovskaya E.I., Arutyunov A.G., Grigorjeva N.Y., Dzhunusbekova G.A., Malchikova S.V., Mitkovskaya N.P., Orlova Y.A., Petrova M.M., Rebrov A.P., Sisakyan A.S., Skibitsky V.V., Sugraliev A.B., Fomin I.V., Chesnikova A.I., Shaposhnik I.I.,	Arutyunov G.P., Koziolova N.A., Tarlovskaya E.I., Arutyunov A.G., Grigorjeva N.Y., Dzhunusbekova G.A., Malchikova S.V., Mitkovskaya N.P., Orlova Y.A., Petrova M.M., Rebrov A.P., Sisakyan A.S., Skibitsky V.V., Sugraliev A.B., Fomin I.V., Chesnikova A.I., Shaposhnik I.I.
Leibner E.S., Stokes S., Ahmad D., Legome E.,	Leibner E.S., Stokes S., Ahmad D., Legome E.
Tahamtan A., Ardebili A.,	Tahamtan A., Ardebili A.
Gemmati D., Bramanti B., Serino M.L., Secchiero P., Zauli G., Tisato V.,	Gemmati D., Bramanti B., Serino M.L., Secchiero P., Zauli G., Tisato V.
Chakladar J., Shende N., Li W.T., Rajasekaran M., Chang E.Y., Ongkeko W.M.,	Chakladar J., Shende N., Li W.T., Rajasekaran M., Chang E.Y., Ongkeko W.M.
Maddileti T., Chand T.E., Kumar S.L., Reddy D.J.,	Maddileti T., Chand T.E., Kumar S.L., Reddy D.J.
Godio A., Pace F., Vergnano A.,	Godio A., Pace F., Vergnano A.
Longhitano L., Tibullo D., Giallongo C., Lazzarino G., Tartaglia N., Galimberti S., Li Volti G., Palumbo G.A., Liso A.,	Longhitano L., Tibullo D., Giallongo C., Lazzarino G., Tartaglia N., Galimberti S., Li Volti G., Palumbo G.A., Liso A.
Scafetta N.,	Scafetta N.
Robinson P.,	Robinson P.
Abu-Farha M., Thanaraj T.A., Qaddoumi M.G., Hashem A., Abubaker J., Al-Mulla F.,	Abu-Farha M., Thanaraj T.A., Qaddoumi M.G., Hashem A., Abubaker J., Al-Mulla F.
Consolo U., Bellini P., Bencivenni D., Iani C., Checchi V.,	Consolo U., Bellini P., Bencivenni D., Iani C., Checchi V.
Al-Qaness M.A.A., Ewees A.A., Fan H., Abualigah L., Elaziz M.A.,	Al-Qaness M.A.A., Ewees A.A., Fan H., Abualigah L., Elaziz M.A.
de Leo D., Trabucchi M.,	de Leo D., Trabucchi M.
Magnani C., Azzolina D., Gallo E., Ferrante D., Gregori D.,	Magnani C., Azzolina D., Gallo E., Ferrante D., Gregori D.
Sañudo B., Seixas A., Gloeckl R., Rittweger J., Rawer R., Taiar R., van der Zee E.A., van Heuvelen M.J.G., Lacerda A.C., Sartorio A., Bemben M., Cochrane D., Furness T., de Sá-Caputo D., Bernardo-Filho M.,	Sañudo B., Seixas A., Gloeckl R., Rittweger J., Rawer R., Taiar R., van der Zee E.A., van Heuvelen M.J.G., Lacerda A.C., Sartorio A., Bemben M., Cochrane D., Furness T., de Sá-Caputo D., Bernardo-Filho M.
Darbani B.,	Darbani B.
Guzzi P.H., Tradigo G., Veltri P.,	Guzzi P.H., Tradigo G., Veltri P.
Dhamija A.,	Dhamija A.
Richens Y., Wilkinson M., Connor D.,	Richens Y., Wilkinson M., Connor D.
Sivasankarapillai V.S., Pillai A.M., Rahdar A., Sobha A.P., Das S.S., Mitropoulos A.C., Mokarrar M.H., Kyzas G.Z.,	Sivasankarapillai V.S., Pillai A.M., Rahdar A., Sobha A.P., Das S.S., Mitropoulos A.C., Mokarrar M.H., Kyzas G.Z.
Ching L., Chang S.P., Nerurkar V.R.,	Ching L., Chang S.P., Nerurkar V.R.
Uddin M., Mustafa F., Rizvi T.A., Loney T., Al Suwaidi H., Al-Marzouqi A.H.H., Eldin A.K., Alsabeeha N., Adrian T.E., Stefanini C., Nowotny N., Alsheikh-Ali A., Senok A.C.,	Uddin M., Mustafa F., Rizvi T.A., Loney T., Al Suwaidi H., Al-Marzouqi A.H.H., Eldin A.K., Alsabeeha N., Adrian T.E., Stefanini C., Nowotny N., Alsheikh-Ali A., Senok A.C.
Morfeld P., Erren T.C.,	Morfeld P., Erren T.C.
Zsuzsanna R., László S., Erno D., Zsolt B.,	Zsuzsanna R., László S., Erno D., Zsolt B.
